id,nft_rank,rarity score,img_url,is_one_of_one,gender,body,hat,glasses,mouth,clothes,background,trait_count
608,10110,47.56,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/608,No,Male,Dark Brown,Cap (Black),None,Cigarette,Suit,Green,3
11878,10111,47.56,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5167,No,Female,Red,None,Sunglasses,None,Fancy Dress,Purple,2
8632,10112,47.55,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1921,No,Female,Dark Brown,Crown,None,Cigarette,Suit,Purple,3
10037,10113,47.55,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3326,No,Female,Purple,Tiny Hat,Sunglasses,Cigarette,None,Yellow,3
8165,10114,47.55,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1454,No,Female,Dark Brown,Straw Hat,None,Gum,Fancy Dress,Yellow,3
8200,10115,47.55,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1489,No,Female,Brown,Straw Hat,None,Gum,Fancy Dress,Yellow,3
8430,10116,47.55,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1719,No,Female,Olive,Tiny Hat,None,Cigarette,Jacket,Green,3
12106,10117,47.54,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5395,No,Female,Dark Brown,Straw Hat,None,Gum,Sweater,Purple,3
10277,10118,47.54,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3566,No,Female,Brown,Straw Hat,None,Gum,Sweater,Purple,3
9249,10119,47.54,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2538,No,Female,Red,Visor,None,None,None,Red,1
8889,10120,47.53,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2178,No,Female,Dark Brown,Straw Hat,None,Gum,Strapless Dress,Yellow,3
11426,10121,47.53,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4715,No,Female,Brown,Straw Hat,None,Gum,Strapless Dress,Yellow,3
13305,10122,47.52,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/6594,No,Female,Olive,Straw Hat,Sunglasses,Gum,Jacket,Yellow,4
10897,10123,47.52,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4186,No,Female,Red,Visor,None,None,None,Orange,1
10322,10124,47.52,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3611,No,Female,Red,Visor,None,Gum,Jacket,Purple,3
6104,10125,47.51,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/6104,No,Male,Dark Brown,Cap (Blue),None,Cigarette,Suit,Red,3
7231,10126,47.51,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/520,No,Female,Purple,None,None,None,Sweater,Gray,1
12187,10127,47.51,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5476,No,Female,Olive,None,None,Gum,Fancy Dress,Orange,2
9047,10128,47.51,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2336,No,Female,Purple,None,Band,lipstick,None,Yellow,2
13008,10129,47.5,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/6297,No,Female,Purple,None,None,None,Sweater,Green,1
11474,10130,47.5,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4763,No,Female,Olive,None,None,Gum,Strapless Dress,Red,2
9251,10131,47.5,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2540,No,Female,Red,None,None,lipstick,None,Cyan,1
9636,10132,47.5,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2925,No,Female,Green,None,Sunglasses,None,Sweater,Purple,2
12631,10133,47.5,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5920,No,Female,Brown,Tiny Hat,None,Cigarette,Suit,Purple,3
8160,10134,47.49,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1449,No,Female,Olive,Straw Hat,None,lipstick,Fancy Dress,Purple,3
11820,10135,47.49,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5109,No,Female,Purple,Straw Hat,Sunglasses,lipstick,Suit,Cyan,4
11840,10136,47.48,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5129,No,Female,Olive,None,None,Gum,Strapless Dress,Orange,2
8266,10137,47.48,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1555,No,Female,Green,Visor,None,None,None,Gray,1
9380,10138,47.48,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2669,No,Female,Green,None,None,lipstick,None,Red,1
8166,10139,47.48,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1455,No,Female,Green,None,Sunglasses,None,Strapless Dress,Yellow,2
9596,10140,47.48,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2885,No,Female,Green,Visor,None,None,None,Green,1
3348,10141,47.48,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/3348,No,Male,Dark Brown,Cap (Black),None,Cigarette,Suit,Red,3
8580,10142,47.47,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1869,No,Female,Green,Straw Hat,Sunglasses,Gum,None,Gray,3
442,10143,47.47,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/442,No,Male,Olive,Cap (Blue),None,None,Suit,Cyan,2
10950,10144,47.47,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4239,No,Female,Green,Straw Hat,Sunglasses,Gum,None,Green,3
6803,10145,47.47,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/92,No,Female,Olive,Straw Hat,None,lipstick,Strapless Dress,Purple,3
10024,10146,47.47,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3313,No,Female,Green,Visor,None,Gum,Jacket,Yellow,3
12523,10147,47.47,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5812,No,Female,Dark Brown,Crown,Sunglasses,None,Suit,Cyan,3
9292,10148,47.46,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2581,No,Female,Green,None,None,lipstick,None,Orange,1
11140,10149,47.46,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4429,No,Female,Dark Brown,Straw Hat,None,Gum,Fancy Dress,Purple,3
10572,10150,47.46,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3861,No,Female,Brown,Straw Hat,None,Gum,Fancy Dress,Purple,3
9137,10151,47.45,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2426,No,Female,Olive,Visor,None,Cigarette,Sweater,Orange,3
7880,10152,47.45,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1169,No,Female,Olive,Visor,None,Cigarette,Strapless Dress,Gray,3
11280,10153,47.44,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4569,No,Female,Olive,Tiny Hat,None,Cigarette,Jacket,Orange,3
12801,10154,47.44,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/6090,No,Female,Dark Brown,Straw Hat,None,Gum,Strapless Dress,Purple,3
11638,10155,47.44,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4927,No,Female,Brown,Straw Hat,None,Gum,Strapless Dress,Purple,3
10857,10156,47.44,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4146,No,Female,Olive,None,Band,Cigarette,Jacket,Gray,3
10074,10157,47.43,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3363,No,Female,Olive,None,Band,Cigarette,Jacket,Green,3
8703,10158,47.43,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1992,No,Female,Olive,Straw Hat,Sunglasses,Gum,Jacket,Purple,4
11282,10159,47.43,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4571,No,Female,Purple,Tiny Hat,None,None,Suit,Green,2
10091,10160,47.42,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3380,No,Female,Purple,Straw Hat,None,lipstick,Sweater,Gray,3
9396,10161,47.42,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2685,No,Female,Purple,None,None,None,Fancy Dress,Gray,1
10652,10162,47.42,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3941,No,Female,Purple,Straw Hat,None,lipstick,Sweater,Green,3
8988,10163,47.42,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2277,No,Female,Purple,None,None,None,Sweater,Red,1
8197,10164,47.42,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1486,No,Female,Purple,None,None,None,Fancy Dress,Green,1
12151,10165,47.41,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5440,No,Female,Red,Visor,None,None,None,Cyan,1
8071,10166,47.41,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1360,No,Female,Brown,Tiny Hat,Sunglasses,None,Suit,Cyan,3
11120,10167,47.41,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4409,No,Female,Brown,Visor,Sunglasses,lipstick,Suit,Red,4
6761,10168,47.41,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/50,No,Female,Red,Straw Hat,Sunglasses,Gum,None,Cyan,3
4735,10169,47.4,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/4735,No,Male,Purple,None,None,Mask,None,Yellow,1
9673,10170,47.4,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2962,No,Female,Purple,None,None,None,Sweater,Orange,1
12317,10171,47.4,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5606,No,Female,Purple,None,None,None,Strapless Dress,Gray,1
11927,10172,47.4,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5216,No,Female,Purple,None,None,None,Strapless Dress,Green,1
6997,10173,47.4,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/286,No,Female,Green,Visor,None,None,None,Red,1
10360,10174,47.39,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3649,No,Female,Green,None,Sunglasses,None,Strapless Dress,Purple,2
8795,10175,47.39,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2084,No,Female,Dark Brown,Visor,Sunglasses,lipstick,Suit,Orange,4
7972,10176,47.39,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1261,No,Female,Olive,Visor,None,Cigarette,Fancy Dress,Red,3
11732,10177,47.39,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5021,No,Female,Green,Straw Hat,Sunglasses,Gum,None,Red,3
3360,10178,47.38,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/3360,No,Male,Purple,None,Sunglasses,None,Pirate,Yellow,2
2791,10179,47.38,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2791,No,Male,Dark Brown,None,Eyepatch,None,Suit,Gray,2
3094,10180,47.38,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/3094,No,Male,Brown,None,Eyepatch,None,Suit,Gray,2
7551,10181,47.38,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/840,No,Female,Green,Visor,None,None,None,Orange,1
2419,10182,47.38,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2419,No,Male,Orange,None,Sunglasses,None,Jacket,Purple,2
9017,10183,47.38,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2306,No,Female,Green,Visor,None,Gum,Jacket,Purple,3
5232,10184,47.37,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5232,No,Male,Dark Brown,None,Eyepatch,None,Suit,Green,2
9476,10185,47.37,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2765,No,Female,Green,Straw Hat,Sunglasses,Gum,None,Orange,3
7550,10186,47.36,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/839,No,Female,Red,None,None,lipstick,None,Yellow,1
10071,10187,47.36,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3360,No,Female,Green,None,None,lipstick,None,Cyan,1
12912,10188,47.35,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/6201,No,Female,Olive,None,Band,Cigarette,Jacket,Red,3
8016,10189,47.35,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1305,No,Female,Purple,Straw Hat,Sunglasses,lipstick,Suit,Yellow,4
11511,10190,47.34,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4800,No,Female,Olive,None,None,Gum,Sweater,Yellow,2
7413,10191,47.34,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/702,No,Female,Purple,Straw Hat,None,lipstick,Fancy Dress,Gray,3
10161,10192,47.34,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3450,No,Female,Purple,Straw Hat,None,lipstick,Sweater,Red,3
8306,10193,47.34,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1595,No,Female,Purple,Straw Hat,None,lipstick,Fancy Dress,Green,3
8097,10194,47.34,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1386,No,Female,Purple,None,None,None,Fancy Dress,Red,1
962,10195,47.33,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/962,No,Male,Olive,Cap (Blue),None,None,Suit,Yellow,2
8311,10196,47.32,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1600,No,Female,Purple,Straw Hat,None,lipstick,Sweater,Orange,3
6751,10197,47.32,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/40,No,Female,Purple,None,None,None,Fancy Dress,Orange,1
5720,10198,47.32,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5720,No,Male,Purple,Cap (Black),Sunglasses,Cigarette,None,Cyan,3
12586,10199,47.32,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5875,No,Female,Purple,None,Band,None,Suit,Gray,2
11540,10200,47.31,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4829,No,Female,Purple,Straw Hat,None,lipstick,Strapless Dress,Green,3
262,10201,47.31,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/262,No,Male,Purple,None,None,Mask,None,Purple,1
2439,10202,47.31,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2439,No,Male,Purple,None,Eyepatch,Cigarette,None,Yellow,2
11613,10203,47.3,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4902,No,Female,Purple,None,None,None,Strapless Dress,Orange,1
459,10204,47.29,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/459,No,Male,Dark Brown,None,Eyepatch,None,Suit,Red,2
13366,10205,47.29,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/6655,No,Female,Dark Brown,None,Sunglasses,Gum,Sweater,Gray,3
875,10206,47.29,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/875,No,Male,Purple,None,Sunglasses,None,Pirate,Purple,2
10507,10207,47.28,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3796,No,Female,Purple,Straw Hat,Sunglasses,Gum,Jacket,Gray,4
2655,10208,47.28,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/2655,No,Male,Brown,Cap (Blue),Sunglasses,None,Suit,Gray,3
8290,10209,47.27,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1579,No,Female,Purple,Straw Hat,Sunglasses,Gum,Jacket,Green,4
8964,10210,47.27,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2253,No,Female,Red,Visor,None,None,None,Yellow,1
221,10211,47.27,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/221,No,Male,Dark Brown,None,Eyepatch,None,Suit,Orange,2
5324,10212,47.27,QmY71ban6QoWg9nbNwikk6wVWknj8NFBG8nMGHEuzwfAwf/5324,No,Male,Brown,None,Eyepatch,None,Suit,Orange,2
7285,10213,47.27,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/574,No,Female,Green,Visor,None,None,None,Cyan,1
7234,10214,47.27,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/523,No,Female,Brown,Crown,None,lipstick,Jacket,Gray,3
9600,10215,47.27,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2889,No,Female,Brown,Tiny Hat,Sunglasses,None,Suit,Yellow,3
11842,10216,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5131,No,Female,Red,Straw Hat,Sunglasses,Gum,None,Yellow,3
8271,10217,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1560,No,Female,Dark Brown,Crown,None,lipstick,Jacket,Green,3
10522,10218,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3811,No,Female,Brown,Crown,None,lipstick,Jacket,Green,3
12509,10219,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5798,No,Female,Olive,Visor,None,Cigarette,Fancy Dress,Cyan,3
7912,10220,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1201,No,Female,Green,Straw Hat,Sunglasses,Gum,None,Cyan,3
12137,10221,47.26,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/5426,No,Female,Purple,Straw Hat,Sunglasses,lipstick,Suit,Purple,4
7858,10222,47.25,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1147,No,Female,Purple,Straw Hat,None,lipstick,Fancy Dress,Red,3
7492,10223,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/781,No,Female,Olive,None,Sunglasses,lipstick,Fancy Dress,Gray,3
9099,10224,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/2388,No,Female,Olive,Visor,None,Cigarette,Strapless Dress,Cyan,3
11681,10225,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4970,No,Female,Purple,Visor,Sunglasses,Cigarette,Suit,Gray,4
9994,10226,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/3283,No,Female,Olive,None,None,Gum,Strapless Dress,Yellow,2
7820,10227,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1109,No,Female,Olive,Visor,Sunglasses,None,Sweater,Gray,3
8380,10228,47.24,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/1669,No,Female,Purple,Straw Hat,None,lipstick,Fancy Dress,Orange,3
10839,10229,47.23,QmR87K1oY8dXL4op91A9zcz4hPmCd8JbMVDTTuUnpXyQcr/4128,No,Female,Olive,Visor,Sunglasses,None,Sweater,Green,3
